Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 All,0.030166,0.031216,1.030625696,0.969459381,1.095651,0.11756,0.286782,1.011825383,0.956520249,1.070328,0.002401,0.003664,1.031208212,0.940636839,1.1305,0.004822,0.003959,1.031839787,0.98109134,1.085213
Age 0-10 Female,-0.008191,0.042254,0.991842427,0.913009378,1.077482,0.145353,0.396664,1.014641451,0.938745598,1.096673,0.000915,0.004896,1.011779713,0.894828747,1.144016,0.000841,0.005352,1.005482871,0.939212436,1.076429
Age 0-10 Male,0.061823,0.039482,1.063774295,0.984558202,1.149364,0.098137,0.356148,1.009862039,0.941772714,1.082874,0.003557,0.004685,1.046581152,0.930524575,1.177112,0.008101,0.005015,1.054065126,0.988831264,1.123603
Age 11-60 All,-0.024624,0.007509,0.975677018,0.961422363,0.990143,-0.090942,0.068036,0.990946995,0.977820365,1.00425,-0.001934,0.000876,0.975547995,0.954353328,0.997213,-0.001758,0.000949,0.988635497,0.976749421,1.000666
Age 11-60 Female,-0.01339,0.009338,0.986698951,0.96880361,1.004925,0.04636,0.08427,1.004646792,0.988189472,1.021378,-0.002452,0.001096,0.969106876,0.942828736,0.996117,-0.000477,0.001178,0.996907346,0.982055272,1.011984
Age 11-60 Male,-0.044605,0.012262,0.956374738,0.933662806,0.979639,-0.335763,0.11163,0.966981175,0.946053861,0.988371,-0.001059,0.001412,0.986530462,0.952201905,1.022097,-0.004063,0.001554,0.973935295,0.954839709,0.993413
Age 60+All,-0.00277,0.012097,0.997234265,0.973868116,1.021161,0.104014,0.109742,1.010455693,0.988953522,1.032425,-0.00398,0.001406,0.950332362,0.917389585,0.984458,-0.000851,0.001533,0.994485688,0.97525553,1.014095
Age 60+ Female,0.006597,0.015869,1.006618997,0.975791026,1.038421,0.251779,0.144113,1.025497558,0.996936473,1.054877,-0.006903,0.001851,0.915438004,0.873896975,0.958954,0.000977,0.002004,1.006370712,0.980996625,1.032401
Age 60+ Male,-0.014729,0.01829,0.985378892,0.950681022,1.021343,-0.089489,0.165823,0.991091035,0.9593972,1.023832,-0.000181,0.002119,0.997680678,0.946036141,1.052145,-0.00323,0.002326,0.979222015,0.950634144,1.00867
All: LAG 3,-0.015272,0.006414,0.984843941,0.97253985,0.997304,-0.117493,0.058299,0.988319422,0.977090653,0.999677,-0.000299,0.000751,0.996174393,0.977574915,1.015128,-0.001392,0.000808,0.990992992,0.980840702,1.00125
Female,-0.009601,0.007927,0.99044505,0.975175595,1.005954,-0.043938,0.071879,0.995615815,0.981687706,1.009742,-0.000314,0.000931,0.995985464,0.973000304,1.019514,-0.001005,0.000999,0.993486952,0.980925961,1.006209
Male,-0.024414,0.010099,0.975881621,0.956754753,0.995391,-0.234836,0.092086,0.976790007,0.959318187,0.99458,-0.000286,0.001177,0.996344851,0.967350975,1.026208,-0.002033,0.001272,0.986870209,0.971001699,1.002998
Warm All,-0.010388,0.006128,0.989665693,0.977849855,1.001624,-0.164075,0.075006,0.983726334,0.969370168,0.998295,-0.000528,0.000707,0.993266784,0.975815021,1.011031,-0.000449,0.00087,0.997085139,0.986097726,1.008195
